"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","subscribe","not_contacted"
"18847",54,"2","2",8,"0","0","0","0","4","2",3,999,0,"0",1.4,93.444,-36.1,4.968,5228.1,"0",1
"18895",53,"5","0",5,"0","0","0","1","0","0",2,999,0,"0",1.4,93.918,-42.7,4.966,5228.1,"0",1
"2986",40,"2","0",4,"1","1","0","0","5","2",3,999,0,"0",-0.1,93.2,-42,4.153,5195.8,"0",1
"1842",28,"6","1",8,"0","1","0","0","2","4",4,999,1,"1",-1.8,92.893,-46.2,1.25,5099.1,"0",1
"3371",31,"6","1",8,"0","0","0","1","2","3",1,999,0,"0",1.1,93.994,-36.4,4.856,5191,"1",1
"11638",40,"0","0",8,"0","0","0","0","3","1",3,999,0,"0",-1.8,93.075,-47.1,1.405,5099.1,"0",1
"4761",42,"7","0",3,"1","0","0","0","2","1",2,999,1,"1",-1.8,92.893,-46.2,1.299,5099.1,"0",1
"6746",54,"9","2",3,"1","1","0","1","2","4",9,999,0,"0",1.1,93.994,-36.4,4.864,5191,"0",1
"16128",31,"9","1",7,"1","1","1","0","4","2",1,999,0,"0",1.4,93.444,-36.1,4.966,5228.1,"0",1
"2757",48,"6","0",8,"0","1","0","0","4","3",5,999,0,"0",1.4,93.444,-36.1,4.964,5228.1,"0",1
"12636",48,"5","0",3,"1","2","1","0","4","0",3,999,0,"0",1.4,93.444,-36.1,4.968,5228.1,"0",1
"9209",72,"6","0",8,"1","0","1","0","7","2",1,6,1,"2",-3.4,92.431,-26.9,0.728,5017.5,"1",0
"10205",44,"3","0",6,"0","0","0","0","7","1",3,999,0,"0",-1.1,94.601,-49.5,1,4963.6,"0",1
"13667",52,"9","0",6,"1","1","0","0","0","3",2,999,0,"0",1.4,93.918,-42.7,4.963,5228.1,"0",1
"2888",43,"6","0",8,"0","0","0","0","4","2",1,999,0,"0",1.4,93.444,-36.1,4.963,5228.1,"0",1
"6170",80,"8","0",3,"1","1","0","0","10","1",1,999,0,"0",-1.8,92.843,-50,1.52,5099.1,"0",1
"18951",40,"5","2",4,"1","0","0","1","1","4",2,999,0,"0",1.4,94.465,-41.8,4.967,5228.1,"0",1
"9642",33,"5","2",5,"0","1","1","0","2","4",3,999,0,"0",-1.8,92.893,-46.2,1.25,5099.1,"0",1
"12499",38,"7","0",8,"1","2","0","1","2","2",11,999,0,"0",1.1,93.994,-36.4,4.857,5191,"0",1
"19364",34,"5","1",3,"0","1","1","1","2","2",3,999,0,"0",1.1,93.994,-36.4,4.856,5191,"0",1
"1614",32,"5","0",5,"0","0","0","0","3","4",2,999,0,"0",-1.8,93.075,-47.1,1.479,5099.1,"0",1
"16939",58,"6","2",8,"1","0","0","0","4","1",2,999,0,"0",1.4,93.444,-36.1,4.965,5228.1,"0",1
"14183",34,"5","0",5,"0","0","0","1","2","2",3,999,0,"0",1.1,93.994,-36.4,4.856,5191,"0",1
"15180",41,"2","0",7,"0","0","0","0","4","2",1,999,0,"0",1.4,93.444,-36.1,4.966,5228.1,"0",1
"9359",52,"5","0",5,"1","2","2","1","1","1",2,999,0,"0",1.4,94.465,-41.8,4.961,5228.1,"0",1
"9991",44,"6","0",8,"1","0","1","0","4","3",1,999,0,"0",1.4,93.444,-36.1,4.965,5228.1,"0",1
"9097",45,"1","0",7,"1","0","0","0","6","0",1,999,0,"0",-1.1,94.199,-37.5,0.879,4963.6,"1",1
"15273",29,"6","1",8,"0","0","0","0","0","0",1,999,0,"0",1.4,93.918,-42.7,4.958,5228.1,"0",1
"17431",26,"3","1",5,"0","1","0","1","1","1",3,999,0,"0",1.4,94.465,-41.8,4.865,5228.1,"0",1
"3004",44,"3","0",3,"1","1","0","0","4","2",2,999,0,"0",1.4,93.444,-36.1,4.963,5228.1,"0",1
"19591",24,"2","0",7,"0","0","0","0","0","4",4,26,1,"2",-1.7,94.215,-40.3,0.885,4991.6,"1",0
"7989",53,"2","2",6,"0","0","0","0","5","0",2,999,0,"0",-0.1,93.2,-42,4.076,5195.8,"0",1
"3995",29,"6","1",6,"0","0","0","0","0","2",2,3,3,"2",-1.7,94.215,-40.3,0.835,4991.6,"1",0
"13536",36,"2","0",8,"0","1","1","2","2","1",1,999,0,"0",1.1,93.994,-36.4,4.857,5191,"0",1
"8358",57,"5","0",3,"0","0","0","0","4","0",9,999,0,"0",1.4,93.444,-36.1,4.963,5167,"0",1
"16601",30,"2","0",7,"1","1","0","0","4","0",1,999,0,"0",1.4,93.444,-36.1,4.964,5228.1,"0",1
"10821",36,"3","0",1,"0","0","0","0","0","4",4,999,0,"0",1.4,93.918,-42.7,4.962,5228.1,"0",1
"6216",48,"1","0",4,"0","0","0","0","0","0",1,999,0,"0",1.4,93.918,-42.7,4.962,5228.1,"1",1
"17983",55,"4","0",1,"1","0","0","0","4","4",1,999,0,"0",1.4,93.444,-36.1,4.963,5228.1,"0",1
"19291",54,"2","0",8,"0","1","0","1","2","2",5,999,1,"1",-1.8,93.876,-40,0.682,5008.7,"0",1
"16678",46,"0","2",8,"0","2","2","1","5","1",2,999,0,"0",-0.1,93.2,-42,4.191,5195.8,"0",1
